CTRY_Nepal,Nepal,Непала,Nepal,Népal
CTRY_Netherlands,Netherlands,Нидерландов,Niederlande,Pays-Bas
CTRY_New_Zealand,New Zealand,Новой Зеландии,Neuseeland,Nouvelle-Zélande
CTRY_Nicaragua,Nicaragua,Никарагуа,Nicaragua,Nicaragua
CTRY_Niger,Niger,Нигера,Niger,Niger
CTRY_Nigeria,Nigeria,Нигерии,Nigeria,Nigeria
CTRY_North_Korea,North Korea,Северной Кореи,Nordkorea,Corée du Nord
CTRY_North_Macedonia,North Macedonia,Северной Македонии,Nordmazedonien,Macédoine du Nord
CTRY_Norway,Norway,Норвегии,Norwegen,Norvège
CTRY_Oman,Oman,Омана,Oman,Oman
CTRY_Pakistan,Pakistan,Пакистана,Pakistan,Pakistan
CTRY_Palestine,Palestine,Палестины,Palästina,Palestine
CTRY_Panama,Panama,Панамы,Panama,Panama
CTRY_Papua_New_Guinea,Papua New Guinea,Папуа — Новой Гвинеи,Papua-Neuguinea,Papouasie-Nouvelle-Guinée
CTRY_Paraguay,Paraguay,Парагвая,Paraguay,Paraguay
CTRY_Peru,Peru,Перу,Peru,Pérou
CTRY_Philippines,Philippines,Филиппин,Philippinen,Philippines
CTRY_Poland,Poland,Польши,Polen,Pologne
CTRY_Portugal,Portugal,Португалии,Portugal,Portugal
CTRY_Puerto_Rico,Puerto Rico,Пуэрто-Рико,Puerto Rico,Porto Rico
CTRY_Qatar,Qatar,Катара,Katar,Qatar
CTRY_Reunion,Reunion,Реюньона,Réunion,Réunion
CTRY_Romania,Romania,Румынии,Rumänien,Roumanie
CTRY_Russia,Russia,России,Russland,Russie
CTRY_Rwanda,Rwanda,Руанды,Ruanda,Rwanda
CTRY_Saint_Kitts_and_Nevis,Saint Kitts and Nevis,Сент-Китса и Невиса,St. Kitts und Nevis,Saint-Christophe-et-Niévès
CTRY_Saint_Lucia,Saint Lucia,Сент-Люсии,St. Lucia,Sainte-Lucie
CTRY_Saint_Vincent_and_the_Grenadines,Saint Vincent and the Grenadines,Сент-Винсента и Гренадин,St. Vincent und die Grenadinen,Saint-Vincent-et-les-Grenadines
CTRY_Salvador,Salvador,Сальвадора,El Salvador,Salvador
CTRY_Saudi_Arabia,Saudi Arabia,Саудовской Аравии,Saudi-Arabien,Arabie saoudite
CTRY_Senegal,Senegal,Сенегала,Senegal,Sénégal
CTRY_Serbia,Serbia,Сербии,Serbien,Serbie
CTRY_Seychelles,Seychelles,Сейшельских Островов,Seychellen,Seychelles
CTRY_Sierra_Leone,Sierra Leone,Сьерра-Леоне,Sierra Leone,Sierra Leone
CTRY_Slovakia,Slovakia,Словакии,Slowakei,Slovaquie
CTRY_Slovenia,Slovenia,Словении,Slowenien,Slovénie
CTRY_Solomon_Islands,Solomon Islands,Соломоновых Островов,Salomonen,Îles Salomon
CTRY_Somalia,Somalia,Сомали,Somalia,Somalie
CTRY_South_Africa,South Africa,ЮАР,Südafrika,Afrique du Sud
CTRY_South_Korea,South Korea,Южной Кореи,Südkorea,Corée du Sud
CTRY_South_Sudan,South Sudan,Южного Судана,Südsudan,Soudan du Sud
CTRY_Spain,Spain,Испании,Spanien,Espagne
CTRY_Sri_Lanka,Sri Lanka,Шри-Ланки,Sri Lanka,Sri Lanka
CTRY_Sudan,Sudan,Судана,Sudan,Soudan
CTRY_Suriname,Suriname,Суринама,Suriname,Suriname
CTRY_Swaziland,Swaziland,Свазиленда,Swasiland,Eswatini
CTRY_Sweden,Sweden,Швеции,Schweden,Suède
CTRY_Switzerland,Switzerland,Швейцарии,Schweiz,Suisse
CTRY_Syria,Syria,Сирии,Syrien,Syrie
CTRY_Taiwan,Taiwan,Тайваня,Taiwan,Taïwan
CTRY_Tajikistan,Tajikistan,Таджикистана,Tadschikistan,Tadjikistan
CTRY_Tanzania,Tanzania,Танзании,Tansania,Tanzanie
CTRY_Thailand,Thailand,Таиланда,Thailand,Thaïlande
CTRY_Togo,Togo,Того,Togo,Togo
CTRY_Trinidad_and_Tobago,Trinidad and Tobago,Тринидада и Тобаго,Trinidad und Tobago,Trinité-et-Tobago
CTRY_Tunis,Tunis,Туниса,Tunesien,Tunisie
CTRY_Turkey,Turkey,Турции,Türkei,Turquie
CTRY_Turkmenistan,Turkmenistan,Туркменистана,Turkmenistan,Turkménistan
CTRY_UAE,UAE,ОАЭ,VAE,ÉAU
CTRY_Uganda,Uganda,Уганды,Uganda,Ouganda
CTRY_Ukraine,Ukraine,Украины,Ukraine,Ukraine
CTRY_United_Kingdom,United Kingdom,Соединённого Королевства,Vereinigtes Königreich,Royaume-Uni
CTRY_United_States,United States,Соединённых Штатов,Vereinigte Staaten,États-Unis
CTRY_Uruguay,Uruguay,Уругвая,Uruguay,Uruguay
CTRY_Uzbekistan,Uzbekistan,Узбекистана,Usbekistan,Ouzbékistan
CTRY_Venezuela,Venezuela,Венесуэлы,Venezuela,Venezuela
CTRY_Vietnam,Vietnam,Вьетнама,Vietnam,Viêt Nam
CTRY_Yemen,Yemen,Йемена,Jemen,Yémen
CTRY_Zambia,Zambia,Замбии,Sambia,Zambie
CTRY_Zimbabwe,Zimbabwe,Зимбабве,Simbabwe,Zimbabwe
DIVISIONS,Divisions,Дивизии,Divisionen,Divisions
ACTIVE_WARS,Active wars,Текущие войны,Aktive Kriege,Guerres actives
THIS_WEEK,This week,За эту неделю,Diese Woche,Cette semaine
BUILT,built,построено,gebaut,construit
DESTROYED,destroyed,уничтожено,zerstört,détruit
UAV,UAV,БПЛА,UAV,drone
ROCKETS,rockets,ракет,Raketen,roquettes
WAR_AGAINST_FMT,Against %s,Против %s,Gegen %s,Contre %s
WAR_DAYS_FMT,%d days,%d дн.,%d Tage,%d j.
NO_DIVISIONS,No divisions,Нет дивизий,Keine Divisionen,Aucune division
PROV,Prov.,Пров.,Prov.,Prov.
key,en,ru,de,fr
UAV_PROGRAM_OF_FMT,UAV program of %s,Программа БПЛА: %s,UAV-Programm von %s,Programme de drones de %s
UAV_OF_FMT,UAV of %s,БПЛА: %s,UAV von %s,Drone de %s
UAV_PRODUCTION,UAV Production,Производство БПЛА,UAV-Produktion,Production de drones
MISSILE_PROGRAM_OF_FMT,Missile program of %s,Программа ракет: %s,Raketenprogramm von %s,Programme de missiles de %s
MISSILE_OF_FMT,Missile of %s,Ракеты: %s,Rakete von %s,Missile de %s
MISSILE_PRODUCTION,Missile Production,Производство ракет,Raketenproduktion,Production de missiles
AMOUNT,Amount,Количество,Menge,Quantité
SPEED,Speed,Скорость,Geschwindigkeit,Vitesse
PER_DAY_FMT,%.1f/day,%.1f/день,%.1f/Tag,%.1f/jour
PER_MONTH_FMT,%.2f/month,%.2f/месяц,%.2f/Monat,%.2f/mois
NEW_ORDER,New Order,Новый заказ,Neue Bestellung,Nouvelle commande
ORDER_IN_PRODUCTION,Order In Production,Заказ в производстве,Bestellung in Produktion,Commande en production
OF_FMT,of %s,из %s,von %s,de %s
DAYS_FMT,%.0f days,%.0f дн.,%.0f Tage,%.0f j.
MONTHS_FMT,%.1f months,%.1f мес.,%.1f Monate,%.1f mois
PRICE_PRODUCTS_FMT,📦 %s products,📦 %s продукции,📦 %s Produkte,📦 %s produits
MISSILE_NOT_DEVELOPED,Ballistic missiles have not been developed,Баллистические ракеты ещё не разработаны,Ballistische Raketen wurden noch nicht entwickelt,Les missiles balistiques n'ont pas encore été développés
UAV_NOT_DEVELOPED,Unmanned aircraft have not been developed,Беспилотники ещё не разработаны,Unbemannte Luftfahrzeuge wurden noch nicht entwickelt,Les drones n'ont pas encore été développés
MISSILE_EMPTY_DESC,The country doesn't yet have its own missile production lines. Create a missile company to begin developing and manufacturing missiles.,У страны пока нет собственных ракетных производственных линий. Создайте ракетную компанию,"Das Land verfügt noch über keine eigenen Raketenproduktionslinien. Gründen Sie eine Raketenfirma, um mit der Entwicklung und Produktion von Raketen zu beginnen.",Le pays ne dispose pas encore de ses propres lignes de production de missiles. Créez une entreprise de missiles pour commencer à développer et fabriquer des missiles.
UAV_EMPTY_DESC,The country doesn't yet have its own drone production lines. Create a UAV company to begin developing and manufacturing drones.,У страны пока нет собственных производственных линий БПЛА. Создайте компанию БПЛА,"Das Land verfügt noch über keine eigenen Drohnenproduktionslinien. Gründen Sie eine UAV-Firma, um mit der Entwicklung und Produktion von Drohnen zu beginnen.",Le pays ne dispose pas encore de ses propres lignes de production de drones. Créez une entreprise de drones pour commencer à développer et fabriquer des drones.
CREATE_MISSILE_COMPANY,Create missile-company,Создать ракетную компанию,Raketenfirma gründen,Créer une entreprise de missiles
CREATE_UAV_COMPANY,Create UAV-company,Создать компанию БПЛА,UAV-Firma gründen,Créer une entreprise de drones
LAUNCH,Launch,Запустить,Starten,Lancer
ORDER,Order,Заказать,Bestellen,Commander
REGIME_COLLAPSED_TITLE,Regime collapsed,Режим пал,Regime zusammengebrochen,Régime effondré
REGIME_COLLAPSED_SUBTITLE,Your government has lost control of the country,Ваше правительство утратило контроль над страной,Ihre Regierung hat die Kontrolle über das Land verloren,Votre gouvernement a perdu le contrôle du pays
LABEL_COUNTRY,Country,Страна,Land,Pays
LABEL_CAUSE,Cause,Причина,Ursache,Cause
LABEL_DATE,Date,Дата,Datum,Date
LABEL_DAYS_IN_POWER,Days in power,Дней у власти,Tage an der Macht,Jours au pouvoir
BTN_RESTART,Restart,Перезапустить,Neu starten,Recommencer
BTN_LOAD_SAVE,Load save,Загрузить сохранение,Spielstand laden,Charger une sauvegarde
BTN_MAIN_MENU,Main menu,Главное меню,Hauptmenü,Menu principal
BTN_QUIT_GAME,Quit game,Выйти из игры,Spiel beenden,Quitter le jeu
CAUSE_ECONOMIC_COLLAPSE,Economic collapse,Экономический коллапс,Wirtschaftlicher Zusammenbruch,Effondrement économique
CAUSE_MILITARY_COLLAPSE,Military collapse,Военный коллапс,Militärischer Zusammenbruch,Effondrement militaire
CAUSE_SOCIAL_COLLAPSE,Social collapse,Социальный коллапс,Sozialer Zusammenbruch,Effondrement social
CAUSE_TERRITORIAL_COLLAPSE,Territorial collapse,Территориальный коллапс,Territorialer Zusammenbruch,Effondrement territorial
MONTH_JAN,January,Января,Januar,janvier
MONTH_FEB,February,Февраля,Februar,février
MONTH_MAR,March,Марта,März,mars
MONTH_APR,April,Апреля,April,avril
MONTH_MAY,May,Мая,Mai,mai
MONTH_JUN,June,Июня,Juni,juin
MONTH_JUL,July,Июля,Juli,juillet
MONTH_AUG,August,Августа,August,août
MONTH_SEP,September,Сентября,September,septembre
MONTH_OCT,October,Октября,Oktober,octobre
MONTH_NOV,November,Ноября,November,novembre
MONTH_DEC,December,Декабря,Dezember,décembre
EMPTY_SAVE_SLOT,Empty save slot,Пустой слот сохранения,Leerer Speicherplatz,Emplacement de sauvegarde vide
SELECT_SAVE_TITLE,Select save,Выбор сохранения,Spielstand auswählen,Sélectionner une sauvegarde
LOAD_SAVE_BTN,Load Save,Загрузить,Laden,Charger
SAVE_GAME_TITLE,Save game,Сохранить игру,Spiel speichern,Sauvegarder la partie
SAVE_BTN,Save,Сохранить,Speichern,Enregistrer
UNKNOWN_COUNTRY,Unknown,Неизвестно,Unbekannt,Inconnu
DAYS_INT_FMT,%d days,%d дн.,%d Tage,%d j.
TIME_JUST_NOW,just now,только что,gerade eben,à l'instant
TIME_MIN_AGO_FMT,%d min ago,%d мин. назад,vor %d Min.,il y a %d min
TIME_HOURS_AGO_FMT,%d hours ago,%d ч. назад,vor %d Std.,il y a %d h
TIME_DAYS_AGO_FMT,%d days ago,%d дн. назад,vor %d Tagen,il y a %d j
CONTINUE,Continue,Продолжить,Fortsetzen,Continuer
SAVE,Save,Сохранить,Speichern,Enregistrer
MAIN_MENU,Main Menu,Главное меню,Hauptmenü,Menu principal
EXIT,Exit,Выйти,Beenden,Quitter
LEAVE,Leave,Выйти,Verlassen,Quitter
MISSILE_LAUNCH_MENU,Missle Launch Menu,Меню запуска ракет,Raketenstart-Menü,Menu de lancement de missiles
UAV_LAUNCH_MENU,UAV Launch Menu,Меню запуска БПЛА,UAV-Start-Menü,Menu de lancement de drones
UAV_LAUNCH,UAV Launch,Запуск БПЛА,UAV-Start,Lancement de drone
AVAILABLE,available,доступно,verfügbar,disponible
PER_PROVINCE,Per province,На провинцию,Pro Provinz,Par province
NOTIFICATION_MENU,Notification menu,Меню уведомлений,Benachrichtigungsmenü,Menu des notifications
NOTIF_WAR_DECLARED_FMT,%s declared war on %s,%s объявили войну против %s,%s hat %s den Krieg erklärt,%s a déclaré la guerre à %s
NOTIF_PEACE_MADE_FMT,%s made peace with %s,%s и %s заключили мир,%s und %s haben Frieden geschlossen,%s et %s ont fait la paix
NOTIF_SANCTIONS_IMPOSED_FMT,%s imposed sanctions on %s,%s ввели санкции против %s,%s hat Sanktionen gegen %s verhängt,%s a imposé des sanctions contre %s
NOTIF_SANCTIONS_REMOVED_FMT,%s lifted sanctions on %s,%s сняли санкции с %s,%s hat die Sanktionen gegen %s aufgehoben,%s a levé les sanctions contre %s
NOTIF_REGIME_COLLAPSED_FMT,%s: regime collapsed (%s -> %s),%s: смена режима (%s → %s),%s: Regimewechsel (%s → %s),%s : effondrement du régime (%s → %s)
TOAST_QUEUE_FULL,The construction queue is full,Очередь строительства заполнена,Die Bauwarteschlange ist voll,La file de construction est pleine
TOAST_FACTORY_PROGRESS_FMT,Factory construction %d/%d,Строительство фабрики %d/%d,Fabrikbau %d/%d,Construction de l'usine %d/%d
TOAST_NOT_ENOUGH_MONEY_FMT,Not enough money (%s required),Недостаточно денег (нужно %s),Nicht genug Geld (%s benötigt),Fonds insuffisants (%s requis)
TOAST_NOT_ENOUGH_RECRUIT,Not enough money or population to recruit (min. 100),Недостаточно денег или населения для призыва (мин. 100),Nicht genug Geld oder Bevölkerung zum Ausheben (min. 100),Fonds ou population insuffisants pour recruter (min. 100)
TOAST_RECRUITED_FMT,Recruited %d troops,Призвано войск: %d,%d Truppen ausgehoben,%d troupes recrutées
TOAST_FORTIFICATION_ALREADY_BUILT,A fortification has already been built here,Укрепление здесь уже построено,Hier wurde bereits eine Befestigungsanlage errichtet,Une fortification a déjà été construite ici
TOAST_FORTIFICATION_IN_PROGRESS,A fortification is already under construction,Укрепление уже строится,Eine Befestigungsanlage wird bereits gebaut,Une fortification est déjà en construction
TOAST_FORTIFICATION_STARTED,Fortification construction started,Строительство укрепления начато,Bau der Befestigungsanlage begonnen,Construction de la fortification commencée
MAP_MODE_POLITICS,Politics,Политика,Politik,Politique
MAP_MODE_ECONOMY,Economy,Экономика,Wirtschaft,Économie
MAP_MODE_POPULATION,Population,Население,Bevölkerung,Population
MAP_ONLY_OWN_COUNTRY,only your country,только своя страна,nur eigenes Land,uniquement votre pays
SEND_DEMANDS,Send demands,Отправить требования,Forderungen stellen,Envoyer des exigences
PEACE_NEGOTIATIONS,Peace Negotiations,Мирные переговоры,Friedensverhandlungen,Négociations de paix
FORCE_ENEMY,Force enemy to adopt your ideology,Заставить врага принять вашу идеологию,Zwinge den Feind deine Ideologie anzunehmen,Forcer l'ennemi à adopter votre idéologie
MAKE_PUPPET,Make the country your puppet,Сделать страну своей марионеткой,Mach das Land zu deiner Marionette,Faites du pays votre marionnette
SELECTED_SOLIDERS,selected soliders,выбрано солдат,ausgewählte soldaten,soldats sélectionnés
SELECTED_DIVISIONS,selected divisions,выбрано дивизий,ausgewählte divisionen,divisions sélectionnées
SELECTED_PROVINCES,selected provinces,выбрано провинций,ausgewählte provinzen,provinces sélectionnées
CONFIRM_DISBAND,Confirm disband,Подтвердить расформирование,Auflösung bestätigen,Confirmer la dissolution
BUILD_FORTIFICATIONS,Build fortifications,Построить укрепления,Errichte Befestigungsanlagen,Construire des fortifications
START,Start,Начать,Starten,Commencer
FOG_OF_WAR,Fog of War,Туман войны,Nebel des Krieges,Brouillard de guerre
ON,ON,ВКЛ,AN,ACTIVÉ
OFF,OFF,ВЫКЛ,AUS,DÉSACTIVÉ
DIFFICULTY,Difficulty,Сложность,Schwierigkeitsgrad,Difficulté
EASY,Easy,Легкая,Einfach,Facile
STANDARD,Standard,Обычная,Standard,Normal
HARD,Hard,Высокая,Schwer,Difficile
HARDCORE,Hardcore,Хардкор,Hardcore,Hardcore
AGGRESSIVENESS,Aggressiveness,Агрессивность,Aggressivität,Agressivité
PASSIVE,Passive,Пассивная,Passiv,Passive
RUTHLESS,Ruthless,Беспощадная,Unbarmherzig,Impitoyable
SAVING_DISABLED_HARDCORE,Saving is disabled on Hardcore,Сохранение отключено в режиме Хардкор,Speichern ist im Hardcore-Modus deaktiviert,La sauvegarde est désactivée en mode Hardcore
CAPTURE_OCCUPIED_PROVINCE,"You can take any province you have occupied.","Вы можете забрать любую провинцию, которую оккупировали.","Sie können jede Provinz übernehmen, die Sie besetzt haben.","Vous pouvez prendre toute province que vous avez occupée."
DIFFICULTY_TOOLTIP_EASY,Buildings and troop recruitment cost 25% less. World sanctions (__WORLD__) do not apply. Saving is available.,Постройки и призыв войск дешевле на 25%. Мировые санкции (__WORLD__) не действуют. Сохранение доступно.,Gebäude und Truppenaushebung kosten 25% weniger. Weltsanktionen (__WORLD__) gelten nicht. Speichern ist möglich.,Les bâtiments et le recrutement coûtent 25% moins cher. Les sanctions mondiales (__WORLD__) ne s'appliquent pas. La sauvegarde est disponible.
DIFFICULTY_TOOLTIP_STANDARD,Normal prices for buildings and troop recruitment. World sanctions apply. Saving is available.,Обычные цены на постройки и призыв войск. Мировые санкции действуют. Сохранение доступно.,Normale Preise für Gebäude und Truppenaushebung. Weltsanktionen gelten. Speichern ist möglich.,Prix normaux pour les bâtiments et le recrutement. Les sanctions mondiales s'appliquent. La sauvegarde est disponible.
DIFFICULTY_TOOLTIP_HARD,Buildings and troop recruitment cost 25% more. World sanctions apply. Saving is available.,Постройки и призыв войск дороже на 25%. Мировые санкции действуют. Сохранение доступно.,Gebäude und Truppenaushebung kosten 25% mehr. Weltsanktionen gelten. Speichern ist möglich.,Les bâtiments et le recrutement coûtent 25% plus cher. Les sanctions mondiales s'appliquent. La sauvegarde est disponible.
DIFFICULTY_TOOLTIP_HARDCORE,Buildings and troop recruitment cost 50% more. World sanctions apply. Saving is DISABLED (manual and auto).,Постройки и призыв войск дороже на 50%. Мировые санкции действуют. Сохранение ОТКЛЮЧЕНО (ни ручное, ни авто).,Gebäude und Truppenaushebung kosten 50% mehr. Weltsanktionen gelten. Speichern ist DEAKTIVIERT (manuell und automatisch).,Les bâtiments et le recrutement coûtent 50% plus cher. Les sanctions mondiales s'appliquent. La sauvegarde est DÉSACTIVÉE (manuelle et automatique).
DIFFICULTY_COST_LABEL,Buildings & recruitment,Постройки и призыв,Gebäude & Aushebung,Bâtiments et recrutement
DIFFICULTY_SANCTIONS_LABEL,World sanctions,Мировые санкции,Weltsanktionen,Sanctions mondiales
DIFFICULTY_SANCTIONS_ON,active,действуют,aktiv,actives
DIFFICULTY_SANCTIONS_OFF,disabled,отключены,deaktiviert,désactivées
DIFFICULTY_SAVING_LABEL,Saving,Сохранение,Speichern,Sauvegarde
DIFFICULTY_SAVING_ON,available,доступно,verfügbar,disponible
DIFFICULTY_SAVING_OFF,disabled,отключено,deaktiviert,désactivée
TAKING_OVER_THE_WORLD,Taking over the world,Захват мира,Die Weltherrschaft übernehmen,Conquérir le monde
CAUSE_TOTAL_OCCUPATION,Territorial collapse,Территориальный коллапс,Territorialer Zusammenbruch,Effondrement territorial
